AB	HG01890	HG02982	HG02613	HG02645	HG02666	HG00553	HG03225	HG03376	NA19043	NA19384
E	HG02756	HG01187	HG01204	HG02628	HG01054	HG01110	HG01088	NA20348	HG01094	HG01305
C	HG00628	HG02141	HG02373	HG03917	NA18971	NA20911	NA21091	NA21094	NA21100	NA18989
G	NA20767	NA20858	HG01097	HG01311	HG01512	HG02224	HG02681	HG03708	HG02789
H	HG01583	HG02786	HG03009	HG03644	HG03594	HG02684	HG03680	HG03697	HG03792	HG03991
IJ	HG00101	NA07051	HG00189	HG00360	HG01101	HG00136	HG01988	HG01069	HG01164	HG00160
LT	HG03821	HG03875	HG03885	HG03900	HG03920	HG01133	HG01190	NA19655	NA20520	NA20527
N	HG02026	NA18613	HG00280	HG00341	HG00182	HG00187	HG00271	HG00278	NA18558	NA18608
O	HG02137	HG00650	HG00556	HG00403	HG00559	HG00580	NA18647	HG00457	HG02409	NA18943
Q	HG03914	NA19682	HG01124	HG01139	HG01142	HG01565	NA19771	HG03943	HG02134	HG03681
R	HG01617	HG01982	HG00107	HG00112	HG00126	HG00141	HG02783	HG03015	HG03691	HG03702
